Linux 3.10.0-1062.12.1.el7.x86_64 (ip-10-0-0-66.ap-south-1.compute.internal) 	10/18/2021 	_x86_64_	(2 CPU)

05:50:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:50:24 PM     all     14.47      0.00      5.23      0.20      0.20     79.90
05:50:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:50:34 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:50:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:50:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:50:49 PM     all      0.00      0.00      0.10      0.00      0.00     99.90
05:50:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:50:59 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:09 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:14 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:51:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:24 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:34 PM     all      0.10      0.00      0.20      0.10      0.10     99.50
05:51:39 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:44 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:49 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:54 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:51:59 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:52:04 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:09 PM     all      0.10      0.00      0.00      0.00      0.00     99.90
05:52:14 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:19 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:24 PM     all      0.00      0.00      0.00      0.00      0.10     99.90
05:52:29 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
05:52:34 PM     all      8.57      0.00      5.14      5.65      0.20     80.44
05:52:39 PM     all      0.10      0.00      0.20      0.10      0.10     99.50
05:52:44 PM     all      0.00      0.00      0.10      0.00      0.10     99.80
05:52:49 PM     all      0.10      0.00      0.00      0.00      0.10     99.80
05:52:54 PM     all      0.10      0.00      0.10      0.00      0.00     99.80
05:52:59 PM     all     54.69      0.00     20.70      9.58      0.21     14.83
05:53:04 PM     all     78.92      0.00     17.57      2.41      0.00      1.10
05:53:09 PM     all     44.25      0.00      9.96      1.54      0.31     43.94
05:53:14 PM     all      1.75      0.00      1.96      0.10      1.34     94.84
05:53:19 PM     all      1.24      0.00      1.76      0.00      0.73     96.27
05:53:24 PM     all      1.45      0.00      1.97      0.00      0.62     95.95
05:53:29 PM     all      1.35      0.00      1.87      0.31      0.83     95.63
05:53:34 PM     all      1.45      0.00      1.76      0.21      0.83     95.75
05:53:39 PM     all      1.35      0.00      1.66      0.10      0.72     96.17
05:53:44 PM     all      1.35      0.00      1.97      0.00      0.73     95.96
05:53:49 PM     all      1.45      0.00      1.55      0.00      0.62     96.38
05:53:54 PM     all      1.35      0.00      1.56      0.00      0.73     96.37
05:53:59 PM     all      1.35      0.00      1.66      0.00      0.73     96.27
