R-ops/s R-ms/ops total-R-ops W-ops/s W-ms/ops total-W-ops Uptime-ms maxWrittenKey maxGeneratedKey
2221.32 9.01 11154 202.77 9.77 1015 5025 1014 1016
4872.84 4.93 35534 256.48 7.80 2298 10027 2297 2299
6880.43 3.49 69939 321.78 6.21 3907 15028 3906 3908
6951.01 3.45 104697 317.77 6.29 5496 20028 5494 5497
6331.87 3.79 136359 299.17 6.68 6992 25029 6991 6993
7034.19 3.41 171534 325.76 6.14 8621 30029 8620 8622
6901.10 3.48 206042 322.58 6.20 10234 35030 10233 10235
6864.03 3.49 240365 310.57 6.43 11787 40030 11786 11788
6902.86 3.48 274882 311.57 6.41 13345 45030 13344 13346
6426.57 3.73 307018 285.77 7.00 14774 50031 14773 14775
6455.30 3.72 339297 287.98 6.93 16214 55031 16213 16215
6760.65 3.55 373103 308.18 6.49 17755 60032 17754 17756
6682.30 3.59 406517 296.78 6.74 19239 65032 19238 19240
6814.88 3.52 440594 317.98 6.29 20829 70032 20828 20830
6878.38 3.49 474989 313.17 6.39 22395 75033 22394 22396
6838.89 3.51 509186 307.58 6.50 23933 80033 23932 23934
6871.43 3.49 543547 306.77 6.51 25467 85034 25466 25468
6826.45 3.51 577686 308.14 6.48 27008 90035 27007 27009
6737.68 3.56 611377 305.37 6.55 28535 95035 28534 28536
6850.61 3.50 645633 311.78 6.42 30094 100036 30093 30095
6517.46 3.68 678240 290.22 6.88 31546 105039 31545 31547
6927.69 3.47 712881 305.78 6.54 33075 110039 33074 33076
6813.42 3.52 746951 308.37 6.48 34617 115039 34616 34618
6939.94 3.46 781654 315.77 6.33 36196 120040 36195 36197
6723.31 3.57 815273 303.58 6.59 37714 125040 37713 37715
6678.26 3.59 848667 299.77 6.67 39213 130041 39212 39214
6799.67 3.53 882669 312.17 6.41 40774 135041 40773 40775
6939.18 3.46 917368 309.97 6.45 42324 140042 42323 42325
6945.06 3.45 952096 312.18 6.40 43885 145042 43884 43886
6837.50 3.51 986286 313.78 6.37 45454 150042 45453 45455
6728.65 3.57 1019932 308.97 6.48 46999 155043 46998 47000
6812.30 3.52 1053999 317.15 6.31 48585 160044 48584 48586
6863.07 3.50 1088319 314.56 6.36 50158 165044 50156 50159
6576.24 3.65 1121203 296.57 6.74 51641 170045 51640 51642
6490.22 3.70 1153657 279.78 7.15 53040 175045 53039 53041
6797.86 3.53 1187649 303.18 6.59 54556 180046 54555 54557
6766.29 3.55 1221483 296.18 6.75 56037 185046 56036 56038
6805.09 3.53 1255511 303.98 6.58 57557 190046 57556 57558
6668.09 3.60 1288854 295.38 6.77 59034 195047 59033 59035
6836.29 3.51 1323039 316.57 6.31 60617 200047 60616 60618
6835.11 3.51 1357217 314.18 6.37 62188 205048 62187 62189
6822.12 3.51 1391330 304.98 6.55 63713 210048 63712 63714
6747.87 3.56 1425072 297.18 6.74 65199 215048 65198 65200
6671.93 3.60 1458434 299.18 6.68 66695 220049 66694 66696
6457.89 3.71 1490726 285.38 7.00 68122 225049 68121 68123
1859.27 3.50 1500023 685.55 2.92 71550 230049 71549 71551
0.00 0.00 1500023 725.34 2.76 75177 235050 75176 75178
0.00 0.00 1500023 836.74 2.39 79361 240050 79360 79362
0.00 0.00 1500023 805.14 2.48 83387 245051 83386 83388
0.00 0.00 1500023 823.94 2.43 87507 250051 87505 87508
0.00 0.00 1500023 836.73 2.39 91691 255051 91690 91692
0.00 0.00 1500023 835.14 2.39 95867 260052 95866 95868
0.00 0.00 1500023 827.94 2.41 100007 265052 100006 100008
0.00 0.00 1500023 820.54 2.44 104110 270052 104109 104111
0.00 0.00 1500023 781.13 2.56 108016 275053 108015 108017
0.00 0.00 1500023 800.14 2.50 112017 280053 112016 112018
0.00 0.00 1500023 824.14 2.43 116138 285054 116137 116139
0.00 0.00 1500023 817.74 2.44 120227 290054 120226 120228
0.00 0.00 1500023 828.53 2.41 124370 295054 124369 124371
0.00 0.00 1500023 842.93 2.37 128585 300055 128584 128586
0.00 0.00 1500023 835.93 2.39 132765 305055 132764 132766
0.00 0.00 1500023 838.34 2.38 136957 310056 136956 136958
0.00 0.00 1500023 835.34 2.39 141134 315056 141133 141135
0.00 0.00 1500023 839.94 2.38 145334 320056 145333 145335
0.00 0.00 1500023 835.74 2.39 149513 325057 149512 149514
0.00 0.00 1500023 824.14 2.42 153634 330057 153633 153635
0.00 0.00 1500023 809.15 2.47 157680 335057 157679 157681
0.00 0.00 1500023 776.75 2.57 161564 340058 161563 161565
0.00 0.00 1500023 807.14 2.48 165600 345058 165599 165601
0.00 0.00 1500023 837.34 2.39 169787 350058 169786 169788
0.00 0.00 1500023 835.73 2.39 173966 355059 173965 173967
0.00 0.00 1500023 828.73 2.41 178110 360059 178109 178111
0.00 0.00 1500023 830.34 2.41 182262 365060 182261 182263
0.00 0.00 1500023 812.94 2.46 186327 370060 186326 186328
0.00 0.00 1500023 830.94 2.41 190482 375060 190481 190483
0.00 0.00 1500023 831.34 2.40 194639 380061 194638 194640
0.00 0.00 1500023 822.34 2.43 198751 385061 198750 198752
0.00 0.00 1500023 819.94 2.44 202851 390061 202850 202852
0.00 0.00 1500023 810.34 2.47 206903 395062 206902 206904
0.00 0.00 1500023 840.34 2.38 211105 400062 211104 211106
0.00 0.00 1500023 809.94 2.45 215155 405063 215118 215156
0.00 0.00 1500023 692.46 2.91 218618 410063 218617 218619
0.00 0.00 1500023 705.75 2.83 222147 415064 222145 222148
0.00 0.00 1500023 848.35 2.36 226389 420064 226388 226390
0.00 0.00 1500023 938.94 2.13 231084 425064 231083 231085
0.00 0.00 1500023 857.54 2.33 235372 430065 235371 235373
0.00 0.00 1500023 815.94 2.45 239452 435065 239451 239453
0.00 0.00 1500023 815.34 2.45 243529 440066 243528 243530
0.00 0.00 1500023 817.36 2.45 247616 445066 247615 247617
0.00 0.00 1500023 820.94 2.43 251721 450066 251720 251722
0.00 0.00 1500023 824.93 2.42 255846 455067 255845 255847
0.00 0.00 1500023 821.94 2.43 259956 460067 259955 259957
0.00 0.00 1500023 836.54 2.39 264139 465067 264138 264140
0.00 0.00 1500023 796.95 2.51 268124 470068 268123 268125
0.00 0.00 1500023 806.73 2.48 272158 475068 272157 272159
0.00 0.00 1500023 831.14 2.41 276314 480068 276312 276315
0.00 0.00 1500023 829.92 2.41 280464 485069 280463 280465
