IP	Date	CPU	%user	%nice	%system	%iowait	%steal	%idle
10-0-0-66	10/18/2021 1:00:02 AM	all	0.91	0	0.6	0	0.3	98.19
10-0-0-66	10/18/2021 1:00:07 AM	all	0.6	0	0.3	0	0.2	98.89
10-0-0-66	10/18/2021 1:00:12 AM	all	0.7	0	0.4	0	0.5	98.39
10-0-0-66	10/18/2021 1:00:17 AM	all	0.6	0	0.4	0	0.2	98.79
10-0-0-66	10/18/2021 1:00:22 AM	all	0.6	0	0.2	0	0.2	98.99
10-0-0-66	10/18/2021 1:00:27 AM	all	0.6	0	0.4	0	0.2	98.79
10-0-0-66	10/18/2021 1:00:32 AM	all	1.22	0	0.71	1.02	0.3	96.75
10-0-0-66	10/18/2021 1:00:37 AM	all	2.48	0	1.55	2.27	0.52	93.18
10-0-0-66	10/18/2021 1:00:42 AM	all	1.63	0	1.12	0.71	1.02	95.51
10-0-0-66	10/18/2021 1:00:47 AM	all	1.74	0	1.13	0.31	0.51	96.32
10-0-0-66	10/18/2021 1:00:52 AM	all	1.75	0	0.82	0	0.51	96.91
10-0-0-66	10/18/2021 1:00:57 AM	all	1.44	0	0.92	0	0.62	97.03
10-0-0-66	10/18/2021 1:01:02 AM	all	1.45	0	1.34	0	0.52	96.69
10-0-0-66	10/18/2021 1:01:07 AM	all	1.34	0	1.03	0.1	0.51	97.02
10-0-0-66	10/18/2021 1:01:12 AM	all	1.33	0	0.72	0	0.62	97.33
10-0-0-66	10/18/2021 1:01:17 AM	all	1.13	0	0.62	0	0.51	97.74
10-0-0-66	10/18/2021 1:01:22 AM	all	1.23	0	0.92	0	0.62	97.23
10-0-0-66	10/18/2021 1:01:27 AM	all	1.13	0	0.72	0	0.51	97.65
10-0-0-66	10/18/2021 1:01:32 AM	all	1.13	0	0.82	0	0.51	97.53
10-0-0-66	10/18/2021 1:01:37 AM	all	1.43	0	1.02	0	0.51	97.03
10-0-0-66	10/18/2021 1:01:42 AM	all	1.23	0	0.82	0	0.51	97.44
10-0-0-66	10/18/2021 1:01:47 AM	all	1.23	0	0.82	0	0.51	97.44
10-0-0-66	10/18/2021 1:01:52 AM	all	1.23	0	0.51	0	0.51	97.74
10-0-0-66	10/18/2021 1:01:57 AM	all	1.13	0	0.82	0	0.51	97.54
10-0-0-66	10/18/2021 1:02:02 AM	all	1.13	0	0.82	0	0.41	97.64
10-0-0-66	10/18/2021 1:02:07 AM	all	1.12	0	1.02	0	0.51	97.35
10-0-0-66	10/18/2021 1:02:12 AM	all	1.33	0	0.82	0	0.41	97.44
10-0-0-66	10/18/2021 1:02:17 AM	all	1.02	0	0.92	0	0.51	97.54
10-0-0-66	10/18/2021 1:02:22 AM	all	0.82	0	0.62	0	0.51	98.05
10-0-0-66	10/18/2021 1:02:27 AM	all	1.13	0	0.92	0	0.51	97.44
10-0-0-66	10/18/2021 1:02:32 AM	all	1.33	0	0.82	0	0.51	97.34
10-0-0-66	10/18/2021 1:02:37 AM	all	1.23	0	0.72	0	0.51	97.53
10-0-0-66	10/18/2021 1:02:42 AM	all	1.34	0	0.72	0	0.51	97.43
10-0-0-66	10/18/2021 1:02:47 AM	all	1.33	0	0.72	0	0.41	97.55
10-0-0-66	10/18/2021 1:02:52 AM	all	1.13	0	0.72	0	0.61	97.54
10-0-0-66	10/18/2021 1:02:57 AM	all	1.23	0	1.02	0	0.41	97.34
10-0-0-66	10/18/2021 1:03:02 AM	all	1.33	0	0.72	0	0.41	97.54
10-0-0-66	10/18/2021 1:03:07 AM	all	1.43	0	0.82	0	0.41	97.35
10-0-0-66	10/18/2021 1:03:12 AM	all	1.34	0	0.82	0	0.51	97.33
10-0-0-66	10/18/2021 1:03:17 AM	all	1.33	0	1.13	0	0.51	97.03
10-0-0-66	10/18/2021 1:03:22 AM	all	1.13	0	0.82	0	0.51	97.54
10-0-0-66	10/18/2021 1:03:27 AM	all	0.92	0	0.72	0	0.41	97.94
10-0-0-66	10/18/2021 1:03:32 AM	all	1.33	0	0.92	0	0.71	97.04
10-0-0-66	10/18/2021 1:03:37 AM	all	1.23	0	0.82	0	0.41	97.54
10-0-0-66	10/18/2021 4:40:52 PM	all	48.78	0	32.65	4.39	0.2	13.98
10-0-0-66	10/18/2021 4:40:57 PM	all	38.49	0	27.09	3.56	0.1	30.75
10-0-0-66	10/18/2021 4:41:02 PM	all	49.7	0	2.71	0.1	0	47.49
10-0-0-66	10/18/2021 4:41:07 PM	all	9.36	0	9.56	0.2	0.1	80.78
10-0-0-66	10/18/2021 4:41:12 PM	all	0.1	0	0	0	0.5	99.4
10-0-0-66	10/18/2021 4:41:17 PM	all	0	0	0	0	0.2	99.8
10-0-0-66	10/18/2021 4:41:22 PM	all	12.31	0	0.81	8.85	2.14	75.89
10-0-0-66	10/18/2021 4:41:27 PM	all	0	0	0	0	0.5	99.5
10-0-0-66	10/18/2021 4:41:32 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:41:37 PM	all	0	0	0	0	0.2	99.8
10-0-0-66	10/18/2021 4:41:42 PM	all	0.1	0	0.1	0	0.3	99.5
10-0-0-66	10/18/2021 4:41:47 PM	all	0	0	0	0	0.2	99.8
10-0-0-66	10/18/2021 4:41:52 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:41:57 PM	all	0	0	0	0	0.2	99.8
10-0-0-66	10/18/2021 4:42:02 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:42:07 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:42:12 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:42:17 PM	all	0	0	0	0	0.2	99.8
10-0-0-66	10/18/2021 4:42:22 PM	all	0	0	0.1	0	0.3	99.6
10-0-0-66	10/18/2021 4:42:27 PM	all	0	0	0	0	0.2	99.8
10-0-0-66	10/18/2021 4:42:32 PM	all	0	0	0.1	0	0.3	99.6
10-0-0-66	10/18/2021 4:42:37 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:42:42 PM	all	0	0	0	0	0.2	99.8
10-0-0-66	10/18/2021 4:42:47 PM	all	0	0	0	0	0.5	99.5
10-0-0-66	10/18/2021 4:42:52 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:42:57 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:43:02 PM	all	0	0	0	0	0.4	99.6
10-0-0-66	10/18/2021 4:43:07 PM	all	0	0	0	0	0.2	99.8
10-0-0-66	10/18/2021 4:43:12 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:43:17 PM	all	0	0	0	0	0.2	99.8
10-0-0-66	10/18/2021 4:43:22 PM	all	0	0	0	0	0.6	99.4
10-0-0-66	10/18/2021 4:43:27 PM	all	0	0	0	0	0.3	99.7
10-0-0-66	10/18/2021 4:43:32 PM	all	3.87	0	0.92	5.8	0.41	89
10-0-0-66	10/18/2021 4:43:37 PM	all	31.74	0	10.06	5.6	0.31	52.28
10-0-0-66	10/18/2021 4:43:42 PM	all	0.82	0	0.82	0	0.61	97.75
10-0-0-66	10/18/2021 4:43:47 PM	all	0.71	0	0.92	0	0.51	97.86
10-0-0-66	10/18/2021 4:43:52 PM	all	0.72	0	0.82	0	0.72	97.75
10-0-0-66	10/18/2021 4:43:57 PM	all	0.92	0	0.92	0.51	0.61	97.04
10-0-0-66	10/18/2021 4:44:02 PM	all	7.24	0	1.65	1.14	0.62	89.35
10-0-0-66	10/18/2021 4:44:07 PM	all	0.81	0	0.91	0.1	1.02	97.16
10-0-0-66	10/18/2021 4:44:12 PM	all	0.92	0	0.82	0	0.72	97.54
10-0-0-66	10/18/2021 4:44:17 PM	all	0.81	0	1.02	0	0.71	97.45
10-0-0-66	10/18/2021 4:44:22 PM	all	0.92	0	1.02	0	0.51	97.55
10-0-0-66	10/18/2021 4:44:27 PM	all	0.82	0	1.02	0	0.71	97.45
10-0-0-66	10/18/2021 4:44:32 PM	all	0.82	0	0.72	0	0.72	97.75
10-0-0-66	10/18/2021 4:44:37 PM	all	0.82	0	0.82	0	0.72	97.65
10-0-0-66	10/18/2021 4:44:42 PM	all	0.82	0	0.92	0	0.72	97.54
10-0-0-66	10/18/2021 4:44:47 PM	all	0.72	0	0.82	0	0.61	97.85
10-0-0-66	10/18/2021 4:44:52 PM	all	0.61	0	0.92	0	0.72	97.75
10-0-0-66	10/18/2021 4:44:57 PM	all	0.61	0	0.72	0	0.72	97.96
10-0-0-66	10/18/2021 4:45:02 PM	all	0.72	0	0.61	0	1.02	97.65
10-0-0-66	10/18/2021 4:45:07 PM	all	0.61	0	0.72	0	0.72	97.96
10-0-0-66	10/18/2021 4:45:12 PM	all	0.72	0	0.92	0	0.82	97.54
10-0-0-66	10/18/2021 4:45:17 PM	all	0.61	0	0.72	0	0.51	98.16
10-0-0-66	10/18/2021 4:45:22 PM	all	0.82	0	0.72	0	0.82	97.64
10-0-0-66	10/18/2021 4:45:27 PM	all	0.62	0	0.62	0	0.72	98.05
10-0-0-66	10/18/2021 4:45:32 PM	all	0.82	0	0.72	0	0.62	97.85
10-0-0-66	10/18/2021 4:45:37 PM	all	0.72	0	0.72	0	0.51	98.06
10-0-0-66	10/18/2021 4:45:42 PM	all	0.72	0	0.92	0	0.72	97.64
10-0-0-66	10/18/2021 4:45:47 PM	all	0.72	0	0.61	0	0.61	98.06
10-0-0-66	10/18/2021 4:45:52 PM	all	0.82	0	0.72	0	0.61	97.85
10-0-0-66	10/18/2021 4:45:57 PM	all	0.72	0	0.61	0	0.61	98.06
10-0-0-66	10/18/2021 4:46:02 PM	all	0.72	0	0.82	0	0.51	97.95
10-0-0-66	10/18/2021 4:46:07 PM	all	0.82	0	0.51	0	0.51	98.16
10-0-0-66	10/18/2021 4:46:12 PM	all	0.92	0	1.12	0	0.82	97.15
10-0-0-66	10/18/2021 4:46:17 PM	all	0.82	0	0.82	0	0.51	97.86
10-0-0-66	10/18/2021 4:46:22 PM	all	0.82	0	0.82	0	0.61	97.75
10-0-0-66	10/18/2021 4:46:27 PM	all	0.82	0	0.82	0	0.71	97.66
10-0-0-66	10/18/2021 4:46:32 PM	all	0.82	0	0.82	0	0.61	97.76
10-0-0-66	10/18/2021 4:46:37 PM	all	1.55	0	1.34	0.1	0.52	96.49
10-0-0-66	10/18/2021 4:46:42 PM	all	2.23	0	2.23	0.42	0.74	94.38
